jobma_catcher_id,is_premium,subscription_status,company_size,sub_user,wallet_amount,is_unlimited,subscription_sum,subscription_count,recorded_interview_count,live_interview_count,invites_count,interview_done,pre_recorded_kit_counts,jobs_posted,since_last_login
9636,0,1,1-25,0,99.0,0,1.8,1,21,0,0,21,19,5,3
9637,0,1,500-1000,1,46.0,0,0.6,1,1,0,0,1,4,1,3
9639,0,1,500-1000,1,56.0,0,0.6,1,13,1,0,14,4,3,3
9643,0,1,26-100,0,500000.0,1,502.3,3,0,0,0,0,1,0,3
9645,0,1,1-25,0,500000.0,1,146.5,4,3,0,0,3,3,1,3
9646,0,1,101-500,0,49.0,0,176.5,1,1,0,0,1,1,0,3
9648,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9649,0,1,500-1000,0,150.0,0,1.8,1,0,0,0,0,0,0,4
9651,0,1,101-500,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9652,0,1,500-1000,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9653,0,1,101-500,0,150.0,0,294.1,1,0,0,0,0,0,0,3
9654,0,1,500-1000,0,49.0,0,0.6,1,1,0,0,1,1,0,3
9657,0,1,500-1000,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9658,0,1,500-1000,0,45.0,0,0.6,1,0,0,0,0,0,0,3
9659,0,1,500-1000,1,40.0,0,0.6,1,4,0,0,4,1,1,3
9660,0,1,500-1000,0,49.0,0,176.5,1,2,0,0,2,1,0,3
9661,0,1,101-500,0,50.0,0,176.5,1,0,0,0,0,0,0,4
9662,0,1,101-500,0,49.0,0,176.5,1,1,0,0,1,1,0,4
9663,0,1,500-1000,0,44.0,0,0.6,1,1,0,0,1,1,1,4
9664,0,1,500-1000,0,144.0,0,1.8,1,1,0,0,1,1,1,3
9665,0,1,101-500,0,44.0,0,0.6,1,1,0,0,1,1,1,3
9666,0,1,500-1000,0,149.0,0,294.1,1,1,0,0,1,1,1,4
9667,0,1,500-1000,0,500000.0,1,118.8,1,1,0,0,1,1,1,3
9668,0,1,500-1000,0,50.0,0,117.6,1,0,0,0,0,0,0,4
9669,0,1,500-1000,0,150.0,0,158.8,1,0,0,0,0,0,0,4
9670,0,1,101-500,0,149.0,0,117.6,1,1,0,0,1,1,0,4
9671,0,1,101-500,0,150.0,0,2.9,1,0,0,0,0,0,0,4
